نام غذا,واحد پیش‌فرض,کالری در واحد,کربوهیدرات,پروتئین,چربی,فیبر,وزن_گرم,واحد,کالری
سیب,عدد,95.0,25.0,0.5,0.3,4.4,182.0,,
موز,عدد,105.0,27.0,1.3,0.4,3.1,118.0,,
پرتقال,عدد,62.0,15.4,0.9,0.1,2.4,140.0,,
کیوی,عدد,42.0,10.0,0.8,0.4,2.1,75.0,,
انار,عدد,105.0,26.0,1.5,1.2,4.0,200.0,,
خربزه,برش,60.0,14.0,0.8,0.3,0.9,150.0,,
هندوانه,برش,45.0,11.0,0.6,0.2,0.5,150.0,,
گلابی,عدد,57.0,15.0,0.4,0.1,3.1,140.0,,
هلو,عدد,59.0,14.0,0.9,0.3,1.5,150.0,,
شلیل,عدد,60.0,14.0,1.0,0.3,1.6,140.0,,
آلو,عدد,30.0,8.0,0.7,0.2,1.4,66.0,,
گیلاس,مشت,50.0,12.0,1.0,0.3,1.6,100.0,,
آلبالو,مشت,45.0,11.0,0.8,0.3,1.4,100.0,,
توت فرنگی,عدد,4.0,0.9,0.1,0.0,0.3,12.0,,
تمشک,مشت,32.0,7.5,0.7,0.4,4.0,70.0,,
زغال اخته,مشت,42.0,10.5,0.5,0.2,3.6,70.0,,
لیمو شیرین,عدد,20.0,5.0,0.5,0.2,1.5,100.0,,
گریپ فروت,عدد,52.0,13.0,1.0,0.2,2.0,150.0,,
انبه,عدد,150.0,35.0,1.5,0.5,3.5,200.0,,
آناناس,برش,45.0,12.0,0.5,0.1,1.4,100.0,,
انگور,خوشه,62.0,18.0,0.7,0.2,0.9,150.0,,
انجیر,عدد,37.0,9.0,0.5,0.2,1.5,40.0,,
خرما,عدد,27.0,6.0,0.2,0.0,0.6,8.0,,
گوجه فرنگی,عدد,22.0,5.0,1.0,0.2,1.5,100.0,,
کاهو,برگ,5.0,1.0,0.3,0.1,0.5,20.0,,
کلم پیچ,برگ,7.0,1.5,0.5,0.1,0.8,25.0,,
اسفناج,مشت,23.0,3.6,2.9,0.4,2.2,30.0,,
بروکلی,شاخه,34.0,6.6,2.8,0.4,2.6,90.0,,
هویج,عدد,41.0,9.6,0.9,0.2,2.8,60.0,,
فلفل دلمه ای,عدد,31.0,6.0,1.0,0.3,2.1,120.0,,
بادمجان,عدد,24.0,5.7,1.0,0.2,3.4,150.0,,
کدو سبز,عدد,17.0,3.1,1.2,0.3,1.0,120.0,,
کدو حلوایی,برش,26.0,6.5,1.0,0.1,0.5,150.0,,
سیب زمینی,عدد,86.0,20.0,2.0,0.1,2.2,200.0,,
سیب زمینی شیرین,عدد,86.0,20.1,1.6,0.1,3.0,150.0,,
ذرت,بلال,86.0,19.0,3.2,1.2,2.7,100.0,,
نخود سبز,قاشق,81.0,14.5,5.4,0.4,5.1,80.0,,
